task,model,target,validation_metric,validation_score,params,feature_group
regression,gradient_boosting,future_vol_21d,rmse,0.007412099925225247,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 200}",price_climatebert
regression,gradient_boosting,future_vol_21d,rmse,0.006929269018402662,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",price_climatebert
regression,gradient_boosting,future_vol_21d,rmse,0.007158071994416698,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 200}",price_climatebert
regression,gradient_boosting,future_vol_21d,rmse,0.007269576718004424,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",price_climatebert
regression,gradient_boosting,future_vol_21d,rmse,0.007657121788352796,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",price_climatebert
regression,gradient_boosting,future_vol_21d,rmse,0.007262247747944207,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100}",price_climatebert
regression,gradient_boosting,future_vol_21d,rmse,0.008063529190736461,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200}",price_climatebert
regression,gradient_boosting,future_vol_21d,rmse,0.0075584000538180445,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",price_climatebert
regression,gradient_boosting,future_vol_21d,rmse,0.008191651156369887,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.007452337157860864,"{'l2_regularization': 0.0, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 15}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.007789224937562439,"{'l2_regularization': 0.0, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 31}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008263832960314145,"{'l2_regularization': 0.0, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 15}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.00837886181868227,"{'l2_regularization': 0.0, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 31}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008139444912229643,"{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_iter': 100, 'max_leaf_nodes': 15}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008147375562001928,"{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_iter': 100, 'max_leaf_nodes': 31}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008611236313857447,"{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 15}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.00857238419904096,"{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 31}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008469889641481137,"{'l2_regularization': 0.0, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 15}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008948098566890906,"{'l2_regularization': 0.0, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 31}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008906084720398449,"{'l2_regularization': 0.0, 'learning_rate': 0.1, 'max_iter': 200, 'max_leaf_nodes': 15}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.009260758326657646,"{'l2_regularization': 0.0, 'learning_rate': 0.1, 'max_iter': 200, 'max_leaf_nodes': 31}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.007346265866421846,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 15}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.007683614631666941,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 31}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.00818304374432865,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 15}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008288093860065123,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 31}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008101649143793997,"{'l2_regularization': 0.1, 'learning_rate': 0.05, 'max_iter': 100, 'max_leaf_nodes': 15}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.00822040022163738,"{'l2_regularization': 0.1, 'learning_rate': 0.05, 'max_iter': 100, 'max_leaf_nodes': 31}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008639824098636959,"{'l2_regularization': 0.1, 'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 15}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.00873182558132134,"{'l2_regularization': 0.1, 'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 31}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008743681914634802,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 15}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008901265909378887,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 31}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.00916076597647783,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_iter': 200, 'max_leaf_nodes': 15}",price_climatebert
regression,hist_gradient_boosting,future_vol_21d,rmse,0.00921892215915537,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_iter': 200, 'max_leaf_nodes': 31}",price_climatebert
classification,logistic,high_vol_21d,roc_auc,0.9356508875739646,{'C': 0.1},price_climatebert
classification,logistic,high_vol_21d,roc_auc,0.9307969674556212,{'C': 1.0},price_climatebert
classification,logistic,high_vol_21d,roc_auc,0.9297799556213018,{'C': 10.0},price_climatebert
classification,random_forest,high_vol_21d,roc_auc,0.943491124260355,"{'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",price_climatebert
classification,random_forest,high_vol_21d,roc_auc,0.9486131656804734,"{'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",price_climatebert
classification,random_forest,high_vol_21d,roc_auc,0.9518491124260355,"{'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 300}",price_climatebert
classification,random_forest,high_vol_21d,roc_auc,0.8953032544378698,"{'max_features': 0.7, 'min_samples_leaf': 2, 'n_estimators': 300}",price_climatebert
classification,random_forest,high_vol_21d,roc_auc,0.9059171597633136,"{'max_features': 0.7, 'min_samples_leaf': 5, 'n_estimators': 300}",price_climatebert
classification,random_forest,high_vol_21d,roc_auc,0.9115754437869823,"{'max_features': 0.7, 'min_samples_leaf': 10, 'n_estimators': 300}",price_climatebert
classification,random_forest,high_vol_21d,roc_auc,0.8811852810650886,"{'max_features': 1.0, 'min_samples_leaf': 2, 'n_estimators': 300}",price_climatebert
classification,random_forest,high_vol_21d,roc_auc,0.8973002958579882,"{'max_features': 1.0, 'min_samples_leaf': 5, 'n_estimators': 300}",price_climatebert
classification,random_forest,high_vol_21d,roc_auc,0.903069526627219,"{'max_features': 1.0, 'min_samples_leaf': 10, 'n_estimators': 300}",price_climatebert
classification,gradient_boosting,high_vol_21d,roc_auc,0.9226238905325445,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 100}",price_climatebert
classification,gradient_boosting,high_vol_21d,roc_auc,0.9373289571005917,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 200}",price_climatebert
classification,gradient_boosting,high_vol_21d,roc_auc,0.9226839866863906,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 100}",price_climatebert
classification,gradient_boosting,high_vol_21d,roc_auc,0.9357294748520709,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 200}",price_climatebert
classification,gradient_boosting,high_vol_21d,roc_auc,0.9343703772189349,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",price_climatebert
classification,gradient_boosting,high_vol_21d,roc_auc,0.9403984837278107,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 200}",price_climatebert
classification,gradient_boosting,high_vol_21d,roc_auc,0.932706176035503,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",price_climatebert
classification,gradient_boosting,high_vol_21d,roc_auc,0.9370377218934911,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",price_climatebert
classification,gradient_boosting,high_vol_21d,roc_auc,0.9409855769230768,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100}",price_climatebert
classification,gradient_boosting,high_vol_21d,roc_auc,0.9418038091715977,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200}",price_climatebert
classification,gradient_boosting,high_vol_21d,roc_auc,0.938128698224852,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",price_climatebert
classification,gradient_boosting,high_vol_21d,roc_auc,0.9337370562130178,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",price_climatebert
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9402320636094674,"{'l2_regularization': 0.0, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 15}",price_climatebert
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9303069526627219,"{'l2_regularization': 0.0, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 31}",price_climatebert
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.942760724852071,"{'l2_regularization': 0.0, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 15}",price_climatebert
classification,hist_gradient_boosting,high_vol_21d,roc_auc,0.9379437869822485,"{'l2_regularization': 0.0, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 31}",price_climatebert
