evaluation_slice,task,target,feature_group,model,test_rows,rmse,mae,r2,spearman,f1,precision,recall,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_top_10pct
news_weeks,classification,high_vol_21d,price_climatebert,logistic,590,,,,,0.7518427518427518,0.7183098591549296,0.788659793814433,0.6939804134152336,0.8648729563678018,336.0,60.0,41.0,153.0,0.7966101694915254
all_weeks,classification,high_vol_21d,price_climatebert,random_forest,728,,,,,0.7841409691629956,0.7235772357723578,0.8557692307692307,0.7659136806160964,0.896717825443787,452.0,68.0,30.0,178.0,0.8082191780821918
news_weeks,classification,high_vol_21d,price_climatebert,random_forest,590,,,,,0.8047058823529412,0.7402597402597403,0.8814432989690721,0.7934011292039929,0.8990679995834636,336.0,60.0,23.0,171.0,0.8305084745762712
all_weeks,classification,high_vol_21d,price_finbert,gradient_boosting,728,,,,,0.7804878048780488,0.7920792079207921,0.7692307692307693,0.7679202557859909,0.8945867233727811,478.0,42.0,48.0,160.0,0.7945205479452054
news_weeks,classification,high_vol_21d,price_finbert,gradient_boosting,590,,,,,0.7948051948051948,0.8010471204188482,0.788659793814433,0.792675251305049,0.8946813495782568,358.0,38.0,41.0,153.0,0.7966101694915254
all_weeks,classification,high_vol_21d,price_finbert,hist_gradient_boosting,728,,,,,0.7801418439716312,0.7674418604651163,0.7932692307692307,0.7819367115839143,0.9040680473372781,470.0,50.0,43.0,165.0,0.821917808219178
news_weeks,classification,high_vol_21d,price_finbert,hist_gradient_boosting,590,,,,,0.797979797979798,0.7821782178217822,0.8144329896907216,0.8074131259389925,0.9054722482557535,352.0,44.0,36.0,158.0,0.864406779661017
all_weeks,classification,high_vol_21d,price_finbert,logistic,728,,,,,0.6796875,0.5723684210526315,0.8365384615384616,0.744124119404706,0.8682414940828402,390.0,130.0,34.0,174.0,0.8356164383561644
news_weeks,classification,high_vol_21d,price_finbert,logistic,590,,,,,0.6970954356846473,0.5833333333333334,0.865979381443299,0.7643491261318287,0.8665651358950328,276.0,120.0,26.0,168.0,0.9152542372881356
all_weeks,classification,high_vol_21d,price_finbert,random_forest,728,,,,,0.7876106194690266,0.7295081967213115,0.8557692307692307,0.7550088058275726,0.8948502218934912,454.0,66.0,30.0,178.0,0.7671232876712328
news_weeks,classification,high_vol_21d,price_finbert,random_forest,590,,,,,0.8085106382978723,0.7467248908296943,0.8814432989690721,0.7820370644482713,0.8970764344475686,338.0,58.0,23.0,171.0,0.8135593220338984
all_weeks,classification,high_vol_21d,price_finbert_climatebert,gradient_boosting,728,,,,,0.7749419953596288,0.7488789237668162,0.8028846153846154,0.7891483262740941,0.8968518860946745,464.0,56.0,41.0,167.0,0.8356164383561644
news_weeks,classification,high_vol_21d,price_finbert_climatebert,gradient_boosting,590,,,,,0.7901234567901234,0.7582938388625592,0.8247422680412371,0.8142252818627773,0.8978574403832136,345.0,51.0,34.0,160.0,0.864406779661017
all_weeks,classification,high_vol_21d,price_finbert_climatebert,hist_gradient_boosting,728,,,,,0.774818401937046,0.7804878048780488,0.7692307692307693,0.7816737251155658,0.9051867603550297,475.0,45.0,48.0,160.0,0.8356164383561644
news_weeks,classification,high_vol_21d,price_finbert_climatebert,hist_gradient_boosting,590,,,,,0.7927461139896373,0.796875,0.788659793814433,0.8134777613672659,0.9091559929188794,357.0,39.0,41.0,153.0,0.847457627118644
all_weeks,classification,high_vol_21d,price_finbert_climatebert,logistic,728,,,,,0.7192575406032483,0.695067264573991,0.7451923076923077,0.6853308381041384,0.8669840976331362,452.0,68.0,53.0,155.0,0.821917808219178
news_weeks,classification,high_vol_21d,price_finbert_climatebert,logistic,590,,,,,0.743142144638404,0.7198067632850241,0.7680412371134021,0.7050227442536507,0.8696110590440487,338.0,58.0,45.0,149.0,0.7966101694915254
all_weeks,classification,high_vol_21d,price_finbert_climatebert,random_forest,728,,,,,0.7853881278538812,0.7478260869565218,0.8269230769230769,0.7481227849550135,0.8978735207100592,462.0,58.0,36.0,172.0,0.7945205479452054
news_weeks,classification,high_vol_21d,price_finbert_climatebert,random_forest,590,,,,,0.8068459657701712,0.7674418604651163,0.8505154639175257,0.7787887522650034,0.9014761012183692,346.0,50.0,29.0,165.0,0.8305084745762712
all_weeks,classification,high_vol_21d,price_keyword,gradient_boosting,728,,,,,0.7477064220183486,0.7149122807017544,0.7836538461538461,0.7299579563905402,0.8842825443786982,455.0,65.0,45.0,163.0,0.7397260273972602
news_weeks,classification,high_vol_21d,price_keyword,gradient_boosting,590,,,,,0.7591240875912408,0.7188940092165899,0.8041237113402062,0.7500650649548217,0.8796990523794648,335.0,61.0,38.0,156.0,0.7966101694915254
all_weeks,classification,high_vol_21d,price_keyword,hist_gradient_boosting,728,,,,,0.7575757575757576,0.7978723404255319,0.7211538461538461,0.757076444703187,0.9031989644970414,482.0,38.0,58.0,150.0,0.7808219178082192
